benchmark,size,source_file,mean,mean_lb,mean_ub,mean_se,median,median_lb,median_ub,median_se,slope,slope_lb,slope_ub,slope_se,std_dev,std_dev_lb,std_dev_ub,std_dev_se,median_abs_dev,median_abs_dev_lb,median_abs_dev_ub,median_abs_dev_se
mul,1728,REDACTED/arkworks/target/criterion/mul 1728/new/estimates.json,1175.7753676391692,1175.7625638632226,1175.788749789004,0.006672769405691665,1175.7696496122862,1175.7605248599712,1175.776527393793,0.003572196861277941,1175.7773656739234,1175.7690109808575,1175.7875036039839,0.004725497215888295,0.06734414775583186,0.04843148008538933,0.08581630038486636,0.009681970553267354,0.032248872630521355,0.023303924733430494,0.039626826688450266,0.004146748604282503
mul,1792,REDACTED/arkworks/target/criterion/mul 1792/new/estimates.json,1266.5081997502891,1266.442532373486,1266.5909881972007,0.037982241940309754,1266.4247551683716,1266.3881500426257,1266.4570627582136,0.016854339698207155,1266.5060972819426,1266.4462283620062,1266.5795281697303,0.034233924267123815,0.38139326952819724,0.18274735200881956,0.566217549712673,0.1045024558878076,0.1224012423113164,0.09470409890657396,0.15236805363773118,0.015218067285523539
mul,1856,REDACTED/arkworks/target/criterion/mul 1856/new/estimates.json,1361.0554300352585,1361.036241344045,1361.076392852389,0.010232771359471829,1361.0418547832455,1361.0298084342603,1361.049436693522,0.005373692614695917,1361.0563516084308,1361.0443080036455,1361.069983563564,0.006586734966847102,0.1027174896303842,0.07236108304427981,0.1290404627390841,0.01454107276217908,0.04288734306573772,0.03154536539951867,0.05516131151305669,0.00596043203381882
mul,1920,REDACTED/arkworks/target/criterion/mul 1920/new/estimates.json,1461.0738400743767,1461.056606659313,1461.0937001416642,0.00956386033402359,1461.0632686728131,1461.0575489407347,1461.0739842040157,0.004602081775209515,1461.0773190692469,1461.0655977649794,1461.0924460552833,0.006879084862471177,0.09609831362146269,0.055029103327533045,0.13722192026217225,0.022049018832516535,0.03654864454148194,0.0275856715870486,0.046339775075110494,0.0048416251732845165
mul,1984,REDACTED/arkworks/target/criterion/mul 1984/new/estimates.json,1563.1231241110115,1563.08570402189,1563.1709563632487,0.021696028259364324,1563.0795541264097,1563.068224402072,1563.0889942074778,0.005123164990439848,1563.0998956043302,1563.082889285785,1563.1191557275386,0.009295219619461729,0.21782618562945094,0.08845246721931382,0.3173561176505535,0.05818438377537694,0.0441829427596308,0.03377474430721523,0.05842320891306365,0.006092479476624131
mul,2048,REDACTED/arkworks/target/criterion/mul 2048/new/estimates.json,1666.8659812540782,1666.8276319474785,1666.9280529745045,0.027313080110553976,1666.8326169948646,1666.8257263998005,1666.8500768555116,0.006816664792827282,1666.8519644352496,1666.8380554108771,1666.868376078998,0.0077384236010678035,0.2754616131359086,0.06662500082952487,0.4606044477345856,0.13315680057520252,0.03773890842087521,0.030253895025663297,0.05327552879859913,0.005894707602315546
mul,2112,REDACTED/arkworks/target/criterion/mul 2112/new/estimates.json,1776.6240869047047,1776.5667391241755,1776.680803952372,0.029177566754843256,1776.7269011575338,1776.693193943212,1776.747545838651,0.012510843828985332,1776.6350804132103,1776.5647878041946,1776.7051553131737,0.035849054012360784,0.293315803683989,0.25401841890007404,0.32783391957300273,0.018844270813175395,0.13084017136859083,0.08567081584868545,0.2670371234914476,0.04463788443854468
mul,2176,REDACTED/arkworks/target/criterion/mul 2176/new/estimates.json,1887.275312742203,1887.2493120744173,1887.3068020190208,0.014741048285873982,1887.2503638262322,1887.2336353077817,1887.2577912867275,0.0059692127489737535,1887.2484344275792,1887.237884340682,1887.2600963718394,0.005622525877359,0.14826238969223596,0.07857968610472237,0.21482625654933435,0.03704210661089246,0.04598397860113673,0.03426815323767837,0.0604861004948455,0.006665686512475503
mul,2240,REDACTED/arkworks/target/criterion/mul 2240/new/estimates.json,2000.250829365834,2000.181437384126,2000.3212250668807,0.035646308489045396,2000.1767288267288,2000.0762828282827,2000.4147025813693,0.11288189882790119,2000.3874980035316,2000.3147709558418,2000.4544735035206,0.03584212366916247,0.3607276398860628,0.3182257421656204,0.39960013935049477,0.020786661146738765,0.4136387027261136,0.33576381468276845,0.48789246782719015,0.03920959969600719
mul,2304,REDACTED/arkworks/target/criterion/mul 2304/new/estimates.json,2119.4890609845484,2119.4504609222963,2119.534965390791,0.021727144358271538,2119.432322485207,2119.4200644528514,2119.4415306915307,0.006203362385856328,2119.431114161359,2119.4197301070562,2119.4444569629986,0.006291144632387054,0.21757293368979633,0.12925971097520159,0.307944424896423,0.0491305441219535,0.05657286892077972,0.03837349987588252,0.07784405012348822,0.010454362689370575
